commission,niveau,groupe_competences
canyon,SPE,2.1 Connaissance et analyse du milieu aquatique
canyon,SPE,2.2 Techniques de déplacement et franchissement en eaux vives
canyon,SPE,2.3 Progression et franchissement d'obstacles verticaux et aquatiques
canyon,SPE,"2.4 Techniques de sécurité, secours et communication en eaux vives"
canyon,SPE,3.1 Le matériel pour une pratique en groupe autonome en canyoning eau vive et grande verticale
canyon,SPE,3.2 Réussir sa sortie autonome en grandes verticales/eaux vives
canyon,SPE,1.1 Mon niveau de pratique
canyon,SPE,1.2 Expériences - Liste de sorties en canyonisme
canyon,SPE,2.1 Connaissance et analyse du milieu en progression et franchissement d'obstacles verticaux
canyon,SPE,2.2 Techniques de déplacement et franchissement d'obstacles verticaux
canyon,SPE,"2.3 Techniques de sécurité, secours et franchissement d'obstacles verticaux"
vtt,INI,1.1 Mon niveau de pratique en vélo de montagne
vtt,INI,1.2 1.2 Expériences et liste de courses
vtt,INI,2.1 Progression en montée
vtt,INI,2.2 Progression en descente
vtt,INI,"3.1 Mon matériel, mon équipement"
vtt,INI,3.2 Les bons comportements en vélo de montagne
vtt,INI,3.3 Environnement de pratique - milieu montagne 1 (CO1)
vtt,INI,4.1 Pratique des activité dans le club
vtt,PER,1.1 Mon niveau de pratique en vélo de montagne
vtt,PER,1.2 Expériences et listes de courses
vtt,PER,2.1 Progression en montée
vtt,PER,2.2 Progression en descente
vtt,PER,3.1 Le matériel pour une pratique en groupe autonome
vtt,PER,3.2 Réussir sa sortie en vélo de montagne
vtt,PER,3.3 Environnement de pratique - milieu montagne 2 (CO2*)
escalade,INI,1.1 Mon niveau de pratique en escalade SAE 1
escalade,INI,1.2 Mon expérience en escalade SAE 1
escalade,INI,2.1 Escalade en moulinette
escalade,INI,2.2 Escalade en tête
escalade,INI,2.3 Progresser en escalade
escalade,INI,2.4 Compétences spécifiques en escalade SAE
escalade,INI,3.1 Mon matériel - mon équipement en escalade 1
escalade,INI,3.2 Les bons comportements en escalade
escalade,INI,3.3 Environnement de pratique - milieu escalade 1
escalade,PER,1.1 Mon niveau de pratique en escalade SAE 2
escalade,PER,1.2 Mon expérience en escalade SAE 2
escalade,PER,2.1 Progresser en escalade
escalade,PER,2.2 Compléments techniques en escalade
escalade,PER,2.3 Compétences spécifiques en SAE
escalade,PER,3.1 Mon matériel 2
escalade,PER,3.2 Les bons comportements en escalade 2
escalade,PER,3.3 Environnement de pratique : milieu SAE 2
escalade,INI,1.1 Mon niveau de pratique en escalade SNE 1
escalade,INI,1.2 Mon expérience en escalade SNE 1
escalade,INI,2.4 Compétences spécifiques en escalade SNE 1
escalade,INI,3.3 Environnement de pratique : Milieu SNE
escalade,PER,1.1 Mon niveau de pratique en escalade sur SNE 2
escalade,PER,1.2 Mon expérience en escalade SNE 2
escalade,PER,2.3 Compétences spécifiques en escalade SNE 2
escalade,PER,3.3 Environnement de pratique : Milieu SNE 2
escalade,SPE,1.1 Mon niveau de pratique en grandes voies équipées
escalade,SPE,1.2 Mon expérience en grandes voies équipées
escalade,PER,2.1 Principes et techniques de base
escalade,SPE,2.2 Techniques de progression en grandes voies et grandes voies équipées
escalade,SPE,3.1 Le matériel pour une pratique autonome en alpinisme et en grandes voies
escalade,SPE,3.1 Le matériel pour une pratique autonome en grandes voies et grandes voies équipées
escalade,SPE,3.2 Réussir sa sortie autonome en grandes voies et grandes voies équipées
escalade,INI,3.3 Environnement de pratique - milieu montagne 1 (CO1)
